Id_Available,Id_Cryptocurrency,Id_Platform,Available_suppy
1,0,0,"35,733"
2,0,0,"1,929,590"
3,0,0,"14,147"
4,0,0,"1,188,058"
5,0,0,"30,083"
6,0,1,53.082958
7,0,1,"349,243"
8,0,1,"363,799"
9,0,0,"74,692,738"
10,0,0,"4,233,193"
11,0,0,"4,551,861"
12,0,0,"1,609,550"
13,0,0,"4,534,904"
14,0,0,"70,067,100"
15,0,0,"2,107,867,331"
16,0,0,"191,654,469"
17,0,0,"1,320,079"
18,0,0,"94,173,778"
19,0,0,"13,392,450"
20,0,0,"16,274,142"
21,0,0,"631,181"
22,0,0,"11,719,011"
23,0,0,0
24,0,0,"388,404,998"
25,0,0,"901,300"
26,0,0,"97,603"
27,0,0,"6,441,300"
28,0,0,"184,065,490"
29,0,0,"1,624,619"
30,0,0,"155,062"
31,0,0,"6,826,730"
32,0,0,"4,001,002"
33,0,0,"2,647,484"
34,0,0,"4,607,050"
35,0,0,"500,000,000"
36,11,0,"150,530"
37,37,0,"1,957,771,777"
38,50,0,"1,471,853"
39,77,0,"6,481,010,000"
40,80,0,"1,613,608"
41,84,0,"17,388,102"
42,101,0,"843,640,253"
43,145,0,"186,854,501"
44,152,0,"541,329,584"
45,156,0,"197,281,410"
46,157,0,"25,967"
47,167,0,"10,825,202"
48,172,0,"54,774,808,379"
49,181,0,"332,373"
50,182,0,"80,058,305,254"
51,187,0,"91,863,135"
52,188,0,"3,667,464"
53,191,0,"14,397,760,993"
54,196,0,"29,499,715"
55,208,0,0
56,235,0,"82,468,900,621"
57,247,0,"71,213"
58,248,0,"5,045,661"
59,256,0,"29,030,371"
60,261,0,"1,568,026"
61,274,0,"45,539,474,247"
62,296,0,"17,508,028"
63,304,0,"290,690,990,080"
64,308,0,"92,181,351"
65,309,0,"94,306,163,777"
66,314,0,"108,414,788"
67,325,0,"4,986,132,648"
68,330,0,"16,963,625,470"
69,339,0,"145,127,936"
70,340,0,"392,877"
71,353,0,"33,400,428"
72,357,0,"112,564,638"
73,395,0,"50,722,929"
74,397,0,"1,006,746"
75,399,0,"96,132,539"
76,400,0,"58,175,330"
77,401,0,"280,846,322,360"
78,408,0,"56,230,509,048"
79,412,0,"76,035,300"
80,413,0,"212,278,585"
81,416,2,"1,000,000,000"
82,420,0,"290,140"
83,422,0,"45,962,594"
84,424,0,"50,047,628"
85,433,0,"98,340,648"
86,452,0,"55,596,638"
87,459,0,"32,782,322"
88,462,0,"12,792,032"
89,469,0,"357,789,025"
90,471,0,"32,529,168"
91,473,0,"51,878,020"
92,477,0,"66,699,828"
93,488,0,"127,702,746"
94,495,0,"6,744,325"
95,499,0,"39,760,335,000"
96,502,0,"4,104,510"
97,504,0,"3,407,421"
98,505,0,"28,416,784"
99,506,0,"20,487,149"
100,522,0,"90,594,634,253"
101,534,0,"16,039,206"
102,539,0,"20,999,906"
103,546,3,"100,000"
104,548,0,0
105,549,0,"12,346,704"
106,551,0,"63,071,324,065"
107,559,0,"23,005,497,224"
108,563,0,"1,731,078"
109,585,0,"176,737"
110,587,0,"32,976,101"
111,594,0,"14,491,014,421"
112,603,0,"1,867,960"
113,605,4,"452,552,412"
114,609,0,"8,350,750"
115,613,0,"36,679,163"
116,614,0,"558,523,100"
117,616,0,"25,697,150"
118,626,0,"1,721,350"
119,632,0,"20,075,382,121"
120,641,0,"13,071,900"
121,642,0,"4,076,538"
122,648,0,"186,776,854,752"
123,651,0,"4,503,880"
124,658,0,"10,065,900"
125,663,0,"2,158,950"
126,664,0,"307,449,213"
127,671,0,"97,307,606,333"
128,675,0,"2,017,710,000"
129,678,0,"846,792"
130,679,0,"6,280,455"
131,683,0,"999,997,096"
132,684,0,"138,398,124"
133,691,0,"32,062,511"
134,697,0,"14,986,321"
135,701,0,"1,697,226"
136,718,0,"21,814,435"
137,721,0,"67,168,863"
138,722,0,"61,290,025"
139,724,0,"21,161,350"
140,725,0,"3,381,575,359"
141,727,0,"473,659,201"
142,729,0,"364,188,086"
143,736,0,"11,003,168"
144,747,0,"157,182,120"
145,752,0,"7,495,849"
146,770,0,"10,000,000,000"
147,775,0,"248,304,414"
148,776,0,"2,000,086"
149,777,0,"942,032"
150,783,0,"97,694,051,467"
151,794,0,"45,943,238"
152,795,0,"27,355,037,508"
153,806,0,"7,121,275"
154,809,0,"28,989,252,282"
155,814,0,"138,263"
156,820,0,"22,474,900"
157,835,0,"2,268,625"
158,839,0,"82,504,151"
159,840,0,"353,841,668"
160,841,0,"6,440,274"
161,853,0,0
162,860,0,"15,753,430"
163,867,0,"33,228,631"
164,878,0,"11,977,482"
165,885,0,"3,993,235"
166,887,0,"21,144,496"
167,890,0,"1,417,491,050"
168,892,0,"1,433,583"
169,904,0,"14,739,465"
170,911,0,"1,164"
171,915,0,"373,634,483"
