Id_Cryptocurrency,Cryptocurrency
1,0X
2,1337COIN
3,2GIVE
4,300TOKEN
5,42COIN
6,808COIN
7,8BIT
8,ABJCOIN
9,ABNCOIN
10,ACHAIN
11,ACOIN
12,ADELPHOI
13,ADSHARES
14,ADTOKEN
15,ADXNET
16,ADZCOIN
17,AEON
18,AERON
19,AETERNITY
20,AGORASTOKENS
21,AGRELLODELTA
22,AGROLIFECOIN
23,AIDOSKUNEEN
24,AIRSWAP
25,AIRTOKEN
26,ALIS
27,ALLION
28,ALLSAFE
29,ALQO
30,ALTCOINALT
31,ALTCOMMUNITYCOIN
32,AMBER
33,AMBERCOIN
34,AMMOREWARDS
35,AMSTERDAMCOIN
36,ANARCHISTSPRIME
37,ANIMECOIN
38,ANONCOIN
39,ANTIBITCOIN
40,ANTILITECOIN
41,APPLECOINAPW
42,APX
43,AQUARIUSCOIN
44,0
45,ARAGON
46,ARBIT
47,ARCADETOKEN
48,ARCTICCOIN
49,ARDOR
50,ARGENTUM
51,ARGUS
52,ARICOIN
53,ARK
54,ARTBYTE
55,ARTEXCOIN
56,ASCH
57,ASIACOIN
58,ASIADIGICOIN
59,ATBCOIN
60,ATLANT
61,ATMOS
62,ATOMICCOIN
63,ATTENTIONTOKENOFMEDIA
64,AUDIOCOIN
65,AUGUR
66,AURORACOIN
67,AURUMCOIN
68,AUTHORSHIP
69,AUTONIO
70,AVENTUS
71,AXIOM
72,B3COIN
73,BANCOR
74,BANKCOIN
75,BASICATTENTIONTOKEN
76,BATA
77,BATCOIN
78,BCAP
79,BEATCOIN
80,BEAVERCOIN
81,BELACOIN
82,BENJIROLLS
83,BERNCASH
84,BETACOIN
85,BIBLEPAY
86,BIGUP
87,BILLARYCOIN
88,BILLIONAIRETOKEN
89,BINANCECOIN
90,BIOBAR
91,BIOSCRYPTO
92,BIPCOIN
93,BISMUTH
94,BIT20
95,BITASEAN
96,BITBAR
97,BITBAY
98,BITBEAN
99,BITBOOST
100,BITBTC
101,BITCENTAVO
102,BITCLOUD
103,BITCNY
104,BITCOAL
105,BITCOIN
106,BITCOIN21
107,BITCOINCASH
