Id_Contact,Contact,Position
1,Mr Nick Tomaino,Founder
2,Mr Brian Keane,Director
3,Mr Frederick T. Pye,President and CEO
4,Mr Yubo Ruan,Founder
5,Mr Dion DeLof,General Partner
6,Ms Neha Jain,Partner
7,Mr John Harriss,Chief Financial Officer
8,Mr Adrian Bialonczyk,CEO
9,Mr Eddi Salm,Founder
10,Mr Sujit Jadhav,Founder
11,0Blake Richardson,CEO
12,Mr Chris Kitze,Chairman
13,Mr Joseph Kunzler,Founder
14,Mr Andre Carrera Fernandes,Founder
15,Mr Lee Robinson,Founder and Chief Investment Officer
16,Mr John Chalekson,Managing Member
17,Mr Tiantian Kullander,Founding Partner
18,Mr Nick Adams,Managing Director
19,Mr Steven McKie,Founding Partner
20,Mr Edward Keiley,Chief Compliance Officer
21,Mr Ben Horowitz,Co-Founder
22,Mr Chris Keshian,CEO
23,Mr Domenic Carosa,Chairman
24,Mr Max Chee,President
25,Ms Kamilya Arslanova,CEO
26,Mr Jack Arrington,Founder
27,Mr Matthew Dibb,Founder
28,Mr Jack Abraham,Founder
29,Mr Mohit Mamoria,CEO
30,Mr Shyam Kamadolli,Managing Partner
31,Mr Stephen Powaga,Managing Director
32,Ms Arlan Hamilton,Principal
33,Mr Joshua Bekenstein,Managing Director
34,Mr Vladislav Solodkiy,CEO
35,Mr  Mohannad Aama,Managing Director
36,Mr Ed Colloton,Partner
37,Mr Harry Yeh,Managing Partner
38,Mr Joe DiPasquale,CEO
39,Mr Anthony Harrelson,CEO
40,Mr Niklas Nikolajsen,Chairman
41,Mr Dmitry Ufaev,Founder
42,Mr John Karanja,Founder
43,Mr Cedric Jeanson,CEO and Founder
44,Mr Hunter Horsley,CEO
45,Mr Brian Kelley,Founder
46,Mr Zhang Liang,Founder
47,Mr Chris Yoo,Portfolio Manager
48,Mr Oleg Seydak,Founder and CEO
49,Mr Lewis Fellas,Director
50,Mr Japheth Dillman,Founder and Managing Director
51,Mr Nimesh Godhania,Chief Investment Officer
52,Mr Markellos Venetos,Co-Founder
53,Mr P. Bart Stephens,Managing Partner
54,Mr Manuel De Luque,CEO and Founder
55,Mr Terrence Arbinah,Portfolio Manager
56,Mr Bart Michalczuk,Co-Founder
57,Mr Douglas Goldberg,Managing Member
58,Mr Justin Khalayleh,Managing Partner
59,Mr Tyler Adkison,CEO
60,Mr Ari Paul,Founder
61,Mr Ben Marks,Founder
62,Mr Ravi Narayanan,Managing Director
63,Mr Ian Tyner,Partner
64,Mr Shane Shields,Managing Partner
65,Mr Ciarán O’Leary,Co-Founder
66,Mr Adam Draper,Founder and Managing Director
67,Mr Nicholas Foo,Founder
68,Mr Chris Cunningham,CEO and Founder
69,Mr John White,Founding Partner
70,Mr Martin Green,Managing Member
71,Mr Matthew Sitzmann,CEO
72,Mr Michael Ambros,Founder
73,Mr James Sullivan,Partner
74,Mr Andrew Hoppin,General Partner
75,Mr Grant Hummer,Managing Member
76,Ms Chance Du,Founding Partner
77,Mr Jeff Nabers,Founder
78,Mr Asiff Hirji,Director
79,Mr Eddy Travia,CEO
80,Mr Joshua Finkleman,Managing Member
81,Mr Jani Valjavec,Co-Founder
82,Mr Kavita Gupta,Founder
83,Mr Arjan Schutte,Founder and Managing Partner
84,Mr Ken Lang,Partner and Chief Technology Officer
85,Mr Tim Dawson,Director
86,Mr Jamil Goheer,Partner
87,Mr Ali Hassan,Co-Founder and CEO
88,Mr Michael Golod,Co-Founder and CEO
89,Mr Daniel Schwartzkopff,Founder
90,Mr Matt Griswold,CEO
91,Mr Tim Enneking,Founder
92,Mr Robert Ponce Romay,Managing Partner
93,Mr Oleg Ivanov,Operations
94,Mr Martin James,Director
95,Mr Dustin Woolf,Founder
96,Mr Mathias Maurer,Founder
97,0,0
98,Mr Joshua Rogers,Managing Director
99,Mr Scott Douglas,Founder and CEO
100,Mr Joshua Goldbard,Managing Director
101,Mr Robert Ackerman,Member
102,Mr Paul Savchuk,CEO
103,Mr Alan Martinez,Chief Investment Officer
104,Mr Maxwell Bodoia,Managing Member
105,Mr Sina Nader,CEO
106,Mr Krzysztof Drzyzga,Partner
107,Mr Jakub Nemecek,CEO
108,Mr Carlos Scevola,President
109,Mr Boudewijn Rooseboom,Founder
110,Mr Michael Marcovici,Managing Director
111,Mr Jack BauMr uk,#N/A
112,Ms Emily Melton,Partner
113,Mr Matias Antonio,CEO
114,Mr Richard Galvin,CEO
115,Mr Barry Silbert,Founder
116,Mr Leigh Travers,CEO
117,Mr Alexander James,Chief Investment Officer
118,Mr Johnny Steindorff,Managing Partner
119,Mr Nicholas Philliou,Managing Partner
120,Mr Brock Pierce,Co-Founder
121,Mr Bobby Chao,Managing Director
122,Mr Simon Cook,CEO
123,Mr Don Wilson,Founder
124,Mr James Roppel,Founder
125,Mr Kirstan Barnett,Co-Founder and Chief Operating Officer
126,Mr Anatoly Castella,Co-Founder and CEO
127,Mr Anatoliy Knyazev,Managing Partner
128,Mr Wes Cleveland,Founder
129,Mr Richard Muirhead,Founder
130,Mr Ricky Lee,Director
131,Dr Feng Xiao,General Partner
132,Mr Hans de Back,Partner
133,Mr Andrey Orlov,Managing Partner
